hour,is_weekend,artifact_type,n,share
0,False,Other,58,0.05375347544022243
0,False,app_website,64,0.05931417979610751
0,False,code,167,0.15477293790546803
0,False,document,193,0.1788693234476367
0,False,explanation,204,0.18906394810009267
0,False,guidance,121,0.11214087117701575
0,False,misc,272,0.2520852641334569
0,True,Other,24,0.05106382978723404
0,True,app_website,25,0.05319148936170213
0,True,code,65,0.13829787234042554
0,True,document,67,0.1425531914893617
0,True,explanation,132,0.28085106382978725
0,True,guidance,78,0.16595744680851063
0,True,misc,79,0.16808510638297872
1,False,Other,49,0.046755725190839696
1,False,app_website,65,0.06202290076335878
1,False,code,164,0.15648854961832062
1,False,document,189,0.1803435114503817
1,False,explanation,198,0.18893129770992367
1,False,guidance,125,0.11927480916030535
1,False,misc,258,0.24618320610687022
1,True,Other,24,0.05128205128205128
1,True,app_website,29,0.06196581196581197
1,True,code,63,0.1346153846153846
1,True,document,59,0.12606837606837606
1,True,explanation,111,0.23717948717948717
1,True,guidance,78,0.16666666666666666
1,True,misc,104,0.2222222222222222
2,False,Other,57,0.049393414211438474
2,False,app_website,62,0.053726169844020795
2,False,code,187,0.16204506065857885
2,False,document,201,0.17417677642980936
2,False,explanation,229,0.19844020797227035
2,False,guidance,138,0.1195840554592721
2,False,misc,280,0.24263431542461006
2,True,Other,14,0.030434782608695653
2,True,app_website,22,0.04782608695652174
2,True,code,54,0.11739130434782609
2,True,document,63,0.13695652173913042
2,True,explanation,110,0.2391304347826087
2,True,guidance,83,0.18043478260869567
2,True,misc,114,0.24782608695652175
3,False,Other,44,0.03911111111111111
3,False,app_website,78,0.06933333333333333
3,False,code,194,0.17244444444444446
3,False,document,198,0.176
3,False,explanation,203,0.18044444444444444
3,False,guidance,132,0.11733333333333333
3,False,misc,276,0.24533333333333332
3,True,Other,22,0.046511627906976744
3,True,app_website,25,0.052854122621564484
3,True,code,59,0.12473572938689217
3,True,document,68,0.14376321353065538
3,True,explanation,116,0.2452431289640592
3,True,guidance,88,0.18604651162790697
3,True,misc,95,0.20084566596194503
4,False,Other,48,0.043478260869565216
4,False,app_website,80,0.07246376811594203
4,False,code,176,0.15942028985507245
4,False,document,198,0.1793478260869565
4,False,explanation,209,0.18931159420289856
4,False,guidance,153,0.13858695652173914
4,False,misc,240,0.21739130434782608
4,True,Other,22,0.04339250493096647
4,True,app_website,23,0.045364891518737675
4,True,code,64,0.126232741617357
4,True,document,60,0.11834319526627218
4,True,explanation,143,0.28205128205128205
4,True,guidance,88,0.17357001972386588
4,True,misc,107,0.21104536489151873
5,False,Other,63,0.059433962264150944
5,False,app_website,77,0.07264150943396226
5,False,code,148,0.13962264150943396
5,False,document,161,0.15188679245283018
5,False,explanation,228,0.21509433962264152
5,False,guidance,124,0.1169811320754717
5,False,misc,259,0.24433962264150944
5,True,Other,21,0.04719101123595506
5,True,app_website,18,0.04044943820224719
5,True,code,57,0.12808988764044943
5,True,document,52,0.11685393258426967
5,True,explanation,109,0.2449438202247191
5,True,guidance,77,0.17303370786516853
5,True,misc,111,0.24943820224719102
6,False,Other,51,0.04709141274238227
6,False,app_website,64,0.05909510618651893
6,False,code,167,0.15420129270544783
6,False,document,183,0.16897506925207756
6,False,explanation,217,0.20036934441366575
6,False,guidance,128,0.11819021237303785
6,False,misc,273,0.2520775623268698
6,True,Other,15,0.03205128205128205
6,True,app_website,31,0.06623931623931624
6,True,code,64,0.13675213675213677
6,True,document,63,0.1346153846153846
6,True,explanation,139,0.297008547008547
6,True,guidance,76,0.1623931623931624
6,True,misc,80,0.17094017094017094
7,False,Other,50,0.04595588235294118
7,False,app_website,78,0.07169117647058823
7,False,code,166,0.15257352941176472
7,False,document,178,0.1636029411764706
7,False,explanation,216,0.19852941176470587
7,False,guidance,134,0.12316176470588236
7,False,misc,266,0.24448529411764705
7,True,Other,20,0.04024144869215292
7,True,app_website,29,0.05835010060362173
7,True,code,64,0.12877263581488935
7,True,document,67,0.13480885311871227
7,True,explanation,123,0.24748490945674045
7,True,guidance,80,0.16096579476861167
7,True,misc,114,0.22937625754527163
8,False,Other,45,0.03968253968253968
8,False,app_website,64,0.0564373897707231
8,False,code,178,0.15696649029982362
8,False,document,188,0.1657848324514991
8,False,explanation,223,0.1966490299823633
8,False,guidance,138,0.12169312169312169
8,False,misc,298,0.26278659611992944
8,True,Other,26,0.05555555555555555
8,True,app_website,45,0.09615384615384616
8,True,code,55,0.11752136752136752
8,True,document,73,0.15598290598290598
8,True,explanation,102,0.21794871794871795
8,True,guidance,66,0.14102564102564102
8,True,misc,101,0.21581196581196582
9,False,Other,73,0.04108047270680923
9,False,app_website,145,0.08159819921215532
9,False,code,365,0.20540236353404615
9,False,document,358,0.20146314012380417
9,False,explanation,283,0.15925717501406866
9,False,guidance,173,0.09735509285312324
9,False,misc,380,0.21384355655599324
9,True,Other,27,0.06235565819861432
9,True,app_website,27,0.06235565819861432
9,True,code,57,0.13163972286374134
9,True,document,71,0.16397228637413394
9,True,explanation,100,0.23094688221709006
9,True,guidance,83,0.19168591224018475
9,True,misc,68,0.15704387990762125
